Code,Area
ABT,662026.7018
AFG,643570.8398
AGE,1125910.734
AGS,785187.146
AGW,876409.2432
ALA,134787.2715
ALB,28703.02926
ALD,184.2386585
ALG,2326140.094
ALT,262908.1963
ALU,12601.7411
AMU,360888.0678
AND,5972.236138
ANG,1248060.911
ANT,295936.3514
ARI,294962.3545
ARK,137856.909
ARU,207.6523441
ASC,99.05334353
ASK,1492000.107
ASP,72.11285993
ASS,172016.3963
ATP,859.764926
AUT,84083.0011
AZO,2105.428703
BAH,12870.55646
BAL,5108.136835
BAN,139451.4532
BEN,116911.0443
BER,40.3664444
BGM,33181.45406
BIS,49247.29862
BKN,274000.6863
BLR,207317.79
BLT,188709.3891
BLZ,22259.36015
BOL,1092614.047
BOR,745138.2327
BOT,581112.9795
BOU,58.13658882
BRC,944751.2791
BRY,351672.98
BUL,111066.2508
BUR,27363.33989
BZC,1617304.522
BZE,1554214.182
BZL,928972.7273
BZN,3857888.489
BZS,566837.7375
CAB,7027.832162
CAF,622627.8498
CAL,408587.0758
CAY,308.0156368
CBD,183114.5693
CGS,105.1517619
CHA,1279148.433
CHC,1312735.978
CHH,34205.54723
CHI,1203297.469
CHM,790162.1689
CHN,1112280.416
CHQ,735728.5433
CHS,1430534.219
CHT,1137215.474
CHX,1633329.246
CKI,28.91385571
CLC,186888.7992
CLM,1143173.105
CLN,260768.5941
CLS,299276.7605
CMN,467859.3365
CNT,12853.32608
CNY,7548.989361
COL,270543.5991
COM,2186.833667
CON,346353.4849
COO,202.0649317
COR,8788.83107
COS,51387.75695
CPI,32.0287831
CPP,663604.8211
CPV,20201.12868
CRL,1289.820605
CRZ,353.4743074
CTA,431070.0675
CTM,705.6158578
CUB,110516.9789
CVI,3545.344599
CYP,9279.838109
CZE,127559.6204
DEL,5075.75234
DEN,42852.50926
DJI,21566.73324
DOM,48675.27364
DSV,6.027288932
EAI,5605.823713
EAS,189.7417256
ECU,249571.9363
EGY,930060.3468
EHM,132720.4566
ELS,20708.29767
EQG,25061.37059
ERI,121736.8728
ETH,1134755.505
FAL,11733.07017
FIJ,19424.87709
FIN,334536.6843
FLA,147116.5832
FOR,1593.555971
FRA,539405.4181
FRG,84183.699
GAB,262446.6731
GAL,7993.833318
GAM,10780.00939
GEO,152897.1562
GER,357077.8299
GGI,3214.534548
GHA,240579.0832
GIL,451.981286
GNB,34178.33008
GNL,429889.8972
GRB,230664.6594
GRC,117703.7815
GST,82777.80232
