POWO name,plant_name_id,Muller et al,Haueser et al,Kempel et al,Status,Max_AlphaPhy,GammaPhy,Mean_AlphaPhy,Med_AlphaPhy
Achillea filipendulina,3109923,0,1,1,Exotic,0.651656769,387823.3185,-1.36E-01,0.077591684
Achillea millefolium,2908230,1,1,0,Native,1.302940606,1265894.205,2.52E-01,-0.09685103
Achillea nobilis,3110044,1,0,0,Native,0.651656769,561256.4025,-7.18E-02,0.131054264
Aconitum carmichaelii,2618501,0,1,0,Exotic,1.190724587,471816.0623,2.20E-01,0.368171999
Ajuga reptans,5385,0,1,1,Native,0.651656769,561094.0743,2.76E-02,0.215448899
Alcea rosea,2627710,0,0,1,Exotic,0.651656769,149998.6246,-2.56E-02,0.651656769
Allium schoenoprasum,296525,0,1,0,Native,0.651656769,442448.6322,1.66E-01,-0.243822971
Alyssum alyssoides,2631899,0,0,1,Native,0.651656769,628665.8635,1.39E-01,0.257188494
Amaranthus tricolor,2633132,0,1,0,Exotic,1.181753713,984659.4232,8.54E-01,0.78617341
Anchusa arvensis,2636464,0,0,1,Native,0.581167824,340645.264,-2.48E-01,0.090233978
Anchusa capensis,2636491,0,0,1,Exotic,1.073314127,272705.6277,1.69E-01,0.036261556
Anchusa officinalis,2636606,0,0,1,Native,0.651656769,446524.1788,-1.11E-01,0.102876272
Anoda cristata,2641086,0,0,1,Exotic,1.553052994,1361506.752,9.84E-01,0.888560011
Antirrhinum majus,2642724,0,1,0,Exotic,0.651656769,344387.3139,-4.60E-02,0.404944128
Aquilegia viridiflora,2645036,0,0,1,Exotic,1.190724587,395014.5788,-9.20E-02,-0.612419027
Aquilegia vulgaris,2645045,0,1,1,Native,0.607734977,369683.9134,-1.55E-01,0.351397471
Arabis hirsuta,2645681,0,0,1,Native,1.190724587,1155202.967,3.02E-01,-0.095205827
Arabis caucasica,2645447,0,0,1,Exotic,0.729946206,424250.641,-9.76E-02,0.257188494
Aster amellus,3099441,1,0,0,Native,0.651656769,536595.0347,-1.24E-02,0.318315882
Aster bellidiastrum,3099482,0,0,1,Native,0.607734977,261284.3546,3.25E-02,0.457003037
Atropa bella-donna,2665943,0,1,0,Native,0.651656769,551176.19,1.69E-01,0.341184679
Aurinia saxatilis,2666583,0,0,1,Exotic,0.651656769,364448.7732,1.11E-01,0.415649111
Borago officinalis,2679695,0,0,1,Native,0.581167824,260318.8166,-3.86E-01,0.358562743
Bunias orientalis,2686094,0,0,1,Exotic,0.651656769,406632.9064,-4.70E-01,-0.308857618
Calendula officinalis,2910167,0,0,1,Exotic,0.330971886,95413.66903,-2.79E-01,0.330971886
Calystegia sepium,483559,0,0,1,Native,1.302940606,1729967.924,0.616818805,-0.031827384
Campanula armena,363990,0,0,1,Exotic,0.651656769,256808.1918,-0.118313788,0.246380953
Campanula barbata,364044,0,0,1,Native,0.557523087,239046.1568,-0.053086726,0.390171953
Campanula pyramidalis,365752,0,0,1,Exotic,0.479613879,113817.9045,-0.112838498,0.419088311
Campanula rapunculus,365813,0,0,1,Native,0.651656769,529786.6267,0.068832504,0.291900023
Campanula rotundifolia,365918,0,0,1,Native,0.607734977,463344.9086,-0.38119933,-0.316316279
Cardamine pratensis,2700274,1,0,1,Native,0.651656769,838655.8103,-0.002439844,-0.177303168
Cenchrus caudatus,487074,0,1,0,Exotic,1.073314127,635410.1593,0.029255953,0.32793731
Centaurea macrocephala,3050068,0,1,0,Exotic,0.651656769,238068.598,-0.086638046,0.534764062
Cerastium tomentosum,2710954,1,1,0,Exotic,0.479613879,97464.76707,-0.005006892,0.458519335
Chelidonium majus,2716702,0,0,1,Native,0.651656769,589510.9235,-0.007980524,0.070806564
Cichorium intybus,2901597,0,0,1,Native,0.729946206,762433.5046,0.135367137,0.15220409
Circaea lutetiana,2721837,0,0,1,Native,0.651656769,789746.6122,0.006306644,0.230445955
Clarkia amoena,2724644,0,0,1,Exotic,1.162198354,300601.3196,0.099415564,-0.140251182
Clematis terniflora,2726804,0,0,1,Exotic,1.190724587,448177.0211,1.13E-01,0.078696281
Clematis vitalba,2726964,0,0,1,Native,0.651656769,669900.1913,0.339924853,0.354980107
Convolvulus arvensis,483761,0,0,1,Native,1.190724587,1276029.546,0.267668929,0.035306753
Convolvulus tricolor,484499,0,0,1,Exotic,0.581167824,272172.4541,-4.06E-01,0.339400255
Cuminum cyminum,2747364,0,1,0,Exotic,0.246380953,166692.2089,-0.461813689,0.041084675
Cynoglossum amabile,2751851,0,0,1,Exotic,1.190724587,502945.013,0.435373123,0.897930172
Cynoglossum officinale,2752089,0,0,1,Native,0.651656769,590574.6047,-0.065806758,0.184516844
Datura stramonium,2757848,0,0,1,Exotic,1.490023137,581768.5716,0.691036269,0.903573273
Delphinium ajacis,2759384,0,1,0,Exotic,1.162198354,714478.6132,0.423116011,0.437424791
Dianthus armeria,2763820,0,0,1,Native,0.651656769,542055.7613,0.213339496,0.328791719
Dianthus caryophyllus,2764005,0,0,1,Exotic,0.607734977,109553.7478,-0.050403155,0.576350099
Digitalis lanata subsp. trojana,3008772,0,1,0,Exotic,0.651656769,231631.9044,-4.80E-02,0.651656769
Diplotaxis tenuifolia,2771347,1,0,0,Exotic,0.651656769,439410.9282,0.270939081,0.413798372
Echium vulgare,2784423,0,0,1,Native,0.729946206,594438.5295,-0.075557776,0.184516844
Epilobium dodonaei,2790362,1,0,1,Native,0.651656769,448823.5451,0.198461241,0.43927553
