Family,POWO.name,plant_name_id,Plot.NR,plotunique,total.spring.2008,presence.spring.2008,seedling.late.2008,juvenile.late.2008,adult.late.2008,flowering.late.2008,total.late.2008,presence.late.2008,total.spring.2009,presence.spring.2009,seedling.late.2009,flowering.late.2009,total.late.2009,presence.late.2009,seedling.spring.2010,juvenile.spring.2010,adult.spring.2010,flowering.spring.2010,total.spring.2010,Status,Status2,Meadow,Disturbance,Density,logdensity,Day.1st.seedling.SUN,Day.1st.seedling.SHADE,Day.50perc.seedling.SUN,Day.50perc.seedling.SHADE,Germgreen.sun,germgreen.shade,Germ.green.mean,seed1000,logseed1000,lnseed1000,LNBM1,BM1,LNBM2.0,BM2.0,BM3.0,LNBM3.0,LA3.0,LA2.0,Age1,Age2,Age3,Mean.LA1,LNRGR12.0,LNRGR13.0,LNRGR23.0,RGR12.0,RGR13.0,RGR23.0,R12.0,R13.0,R23.0,LAR12.0,LAR13.0,LAR23.0,LNBM2.1,BM2.1,BM3.1,LNBM3.1,LA3.1,LA2.1,LNRGR12.1,LNRGR13.1,LNRGR23.1,RGR12.1,RGR13.1,RGR23.1,R12.1,R13.1,R23.1,LAR12.1,LAR13.1,LAR23.1,Effectsize,Constitut,Watercontent,herb.all,herb.com,herb.nocom,Competitionindex_lnR,Competitionindex_RCI,BM_competitors,CR2,IR2
Asteraceae,Achillea filipendulina,3109923,13,1,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Albligen,1,1,0,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
Asteraceae,Achillea filipendulina,3109923,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Albligen,1,1,0,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
Asteraceae,Achillea filipendulina,3109923,13,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Baetterkinden,1,500,2.698970004,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
Asteraceae,Achillea filipendulina,3109923,145,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Baetterkinden,1,500,2.698970004,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
Asteraceae,Achillea filipendulina,3109923,20,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Bueren,1,5,0.698970004,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
Asteraceae,Achillea filipendulina,3109923,168,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Bueren,1,5,0.698970004,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
Asteraceae,Achillea filipendulina,3109923,113,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Buetzberg,1,1,0,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
Asteraceae,Achillea filipendulina,3109923,*,559,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Buetzberg,1,1,0,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
Asteraceae,Achillea filipendulina,3109923,74,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Buetzberg2,0,5,0.698970004,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
Asteraceae,Achillea filipendulina,3109923,86,746,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exotic,Alien,Buetzberg2,0,5,0.698970004,2,2,3.666666667,3.333333333,0.723333333,0.873333333,0.798333333,118.96,2.075400956,4.778787302,-5.381947568,0.00465,-0.419815152,0.667028333,4.077,1.372791121,389.5611667,125.0225,16,45,73,30.43333333,0.171108014,0.118504188,0.064021653,0.171240183,0.11888157,0.064653006,0.002203072,0.00056611,0.000251283,501.8923353,234.3912197,123.5678024,-0.874649831,0.459991667,4.029666667,1.182068048,445.8386667,85.78133333,0.15542406,0.115158169,0.07345421,0.158425557,0.118676697,0.077508234,0.00272643,0.000498357,0.000291593,538.9119579,260.0725061,132.8160665,-0.330141079,0.565,0.879203801,0.353333333,0.028571429,0.6375,-2.53351708,0.920620655,5.93887143,-0.565,0.046
