Name,LEVEL3_COD,Species,GammaRichness,AlphaRichness,AlphaPhy
Alberta,ABT,9,1534,-0.996985013,-0.87958913
Afghanistan,AFG,24,4449,0.079194177,0.041084675
Argentina Northeast,AGE,4,5050,-0.019188598,-0.009308603
Argentina South,AGS,1,2026,-0.787463328,-0.717236068
Argentina Northwest,AGW,5,5154,0.10201362,0.030413597
Alabama,ALA,15,2924,0.288617781,0.13158928
Albania,ALB,67,3319,1.03778287,0.607734977
Aldabra,ALD,0,194,0.229957933,0.281600583
Algeria,ALG,38,3498,-0.67840418,-0.582836537
Altay,ALT,35,2524,-0.127363769,-0.236409662
Aleutian Is.,ALU,0,353,-0.871891155,-0.806953118
Amur,AMU,18,1385,-0.854987087,-0.688123987
Andaman Is.,AND,1,1690,0.994633028,0.827782141
Angola,ANG,3,5929,0.099827735,0.237407969
Antarctica,ANT,0,3,-6.909976413,-5.374764426
Arizona,ARI,11,3420,0.130133844,-0.059819786
Arkansas,ARK,15,1974,-0.11333519,-0.150970364
Aruba,ARU,0,284,0.562928629,0.358285937
Ascension,ASC,0,21,-1.74363336,-1.50139164
Alaska,ASK,5,1323,-1.471972393,-1.280250906
Amsterdam-St.Paul Is.,ASP,0,18,-1.770038629,-1.543342211
Assam,ASS,4,5707,0.859206488,0.862406063
Antipodean Is.,ATP,0,152,-0.633951274,-0.718246934
Austria,AUT,70,3686,0.710116505,0.472879805
Azores,AZO,16,478,0.151346258,-0.0585253
Bahamas,BAH,1,1040,0.200122341,0.141128224
Baleares,BAL,24,1414,0.879223298,0.478916369
Bangladesh,BAN,4,3948,0.575183802,0.572570087
Benin,BEN,1,2270,0.092706211,0.163995392
Bermuda,BER,1,180,0.766056443,0.661989243
Belgium,BGM,55,1914,0.428965284,0.498626933
Bismarck Archipelago,BIS,0,1358,-0.073126352,0.167460071
Burkina,BKN,0,1763,-0.502822983,-0.310271792
Belarus,BLR,54,1448,-0.587424637,-0.624698189
Baltic States,BLT,51,1677,-0.402754,-0.525426935
Belize,BLZ,2,3347,1.14850048,0.931190635
Bolivia,BOL,6,13585,0.982470377,0.943435468
Borneo,BOR,1,10725,0.90011948,1.033642837
Botswana,BOT,2,2407,-0.49402002,-0.407673891
Bouvet I.,BOU,,0,NA,0
British Columbia,BRC,11,2192,-0.783163859,-0.715135937
Buryatiya,BRY,20,1748,-0.611805345,-0.584226227
