POWO name,plant_name_id,BG_ID
Achillea filipendulina,3109923,8
Achillea millefolium,2908230,68
Achillea nobilis,3110044,11
Aconitum carmichaelii,2618501,8
Ajuga reptans,5385,12
Alcea rosea,2627710,4
Allium schoenoprasum,296525,28
Alyssum alyssoides,2631899,12
Amaranthus tricolor,2633132,3
Anchusa arvensis,2636464,7
Anchusa capensis,2636491,2
Anchusa officinalis,2636606,11
Anoda cristata,2641086,9
Antirrhinum majus,2642724,12
Aquilegia viridiflora,2645036,4
Aquilegia vulgaris,2645045,13
Arabis hirsuta,2645681,38
Arabis caucasica,2645447,12
Aster amellus,3099441,11
Aster bellidiastrum,3099482,7
Atropa bella-donna,2665943,12
Aurinia saxatilis,2666583,11
Borago officinalis,2679695,13
Bunias orientalis,2686094,11
Calendula officinalis,2910167,7
Calystegia sepium,483559,158
Campanula armena,363990,4
Campanula barbata,364044,7
Campanula pyramidalis,365752,7
Campanula rapunculus,365813,12
Campanula rotundifolia,365918,19
Cardamine pratensis,2700274,38
Cenchrus caudatus,487074,14
Centaurea macrocephala,3050068,4
Cerastium tomentosum,2710954,7
Chelidonium majus,2716702,12
Cichorium intybus,2901597,17
Circaea lutetiana,2721837,38
Clarkia amoena,2724644,51
Clematis terniflora,2726804,4
Clematis vitalba,2726964,17
Convolvulus arvensis,483761,17
Convolvulus tricolor,484499,13
Cuminum cyminum,2747364,4
Cynoglossum amabile,2751851,8
Cynoglossum officinale,2752089,11
Datura stramonium,2757848,9
Delphinium ajacis,2759384,21
Dianthus armeria,2763820,11
Dianthus caryophyllus,2764005,7
Digitalis lanata subsp. trojana,3008772,11
Diplotaxis tenuifolia,2771347,11
Echium vulgare,2784423,11
Epilobium dodonaei,2790362,11
Epilobium tetragonum,2791119,17
Eragrostis trichodes,413314,5
Eranthis hyemalis,2791911,11
Erigeron acris,3104709,36
Eritrichium canum,2797689,8
Eschscholzia californica,2801972,5
Eudianthe coeli-rosa,2802809,13
Eupatorium cannabinum,2926599,17
Euthamia graminifolia,3102167,5
Galeopsis angustifolia,85331,7
Gilia tricolor,2825947,5
Gypsophila elegans,2836649,11
Gypsophila paniculata,2836785,11
Helenium bigelovii,3115764,5
Helianthus annuus,2910966,58
Helianthus debilis,3120900,5
Heliotropium arborescens,2843787,1
Hesperis matronalis,2847567,11
Hibiscus trionum,2850654,17
Hordeum jubatum,419358,20
Iberis amara,2859697,7
Iberis sempervirens,2859919,12
Ipomoea tricolor,482807,5
Iris domestica,334601,8
Iris sibirica,322377,11
Ismelia carinata,3112289,2
Jacobaea maritima subsp. bicolor,3082659,12
Jacobaea vulgaris,3082777,12
Knautia arvensis,2334543,11
Lathyrus odoratus,2351328,7
Legousia speculum-veneris,358587,11
Lepidium graminifolium,2337784,12
Lepidium heterophyllum,2337794,13
Leucanthemum vulgare,3112766,11
Lilium formosanum,293214,4
Lilium regale,279843,4
Lithotoma axillaris,494315,6
Lobelia erinus,353498,2
Lobelia inflata,353345,5
Lobularia maritima,2338457,12
Lotus corniculatus,2345329,17
Lupinus ehrenbergii var. ehrenbergii,3017330,9
Lysimachia clethroides,2493128,8
Lysimachia punctata,2492220,11
Lysimachia vulgaris,2492070,17
Malva alcea,2503573,11
Malva moschata,2503483,11
Malva neglecta,2503504,17
Malva trimestris,2504047,12
Medicago lupulina,2368448,17
Mentha spicata,125402,17
Monarda fistulosa,129185,5
Monarda punctata,129232,5
Nemophila maculata,2379420,5
Nepeta racemosa,134920,4
Nicotiana mutabilis,2382251,1
Nicotiana sylvestris,2385612,1
Nigella arvensis,2381639,11
Oenothera biennis,2399189,5
Oenothera glazioviana,2398876,1
Oenothera macrocarpa,2398993,5
Origanum vulgare,143954,17
Papaver betonicifolium,2502572,4
Papaver cambricum,2560601,7
Papaver dubium,2560793,17
Papaver orientale,2561370,4
Papaver rhoeas,2561554,17
Papaver commutatum,2560637,11
Persicaria capitata,2576526,8
Persicaria virginiana,2572324,5
Petunia integrifolia,2549707,1
Phaseolus coccineus,2537776,9
Phleum pratense,433846,17
Phlox drummondii,2567292,5
Physalis peruviana,2549655,1
Phyteuma orbiculare,355252,7
Plantago media,2569797,11
Platycodon grandiflorus,354641,4
Plectocephalus americanus,3046533,5
Polemonium caeruleum,2566071,28
Potentilla atrosanguinea,2953596,8
Pseudo-fumaria lutea,2561323,7
Rudbeckia fulgida,2928986,5
Rudbeckia triloba,3123672,5
Rumex crispus,2424294,17
Salpiglossis sinuata,2579347,1
Salvia argentea,182005,12
Salvia farinacea,182630,5
Salvia glutinosa,182731,11
Salvia lyrata,183102,5
Salvia verticillata,184133,11
Saponaria officinalis,2484914,11
Scabiosa columbaria,2593679,12
Senecio ovatus,3082007,7
Silene chalcedonica,2485408,11
Silene flos-cuculi,2485564,11
Silene latifolia,2488689,12
Silene viscosa,2487795,21
Solanum dulcamara,2932815,17
Solanum nigrum,2915955,17
Solidago canadensis,2911023,5
Solidago ptarmicoides,3101706,5
Symphyotrichum lanceolatum,3103441,5
Symphyotrichum novi-belgii,3103597,5
Thymus × citriodorus,204618,7
Thymus pulegioides,205310,11
Verbena rigida,212652,1
Vicia sepium,2451888,17
Viola odorata,2459312,12
Viola tricolor,2461201,11
Zinnia angustifolia,3124687,5
Zinnia peruviana,3124740,9
