Species,plant_name_id,Max_AlphaPhy,GammaPhy,Mean_AlphaPhy,Med_AlphaPhy
Achillea millefolium,2908230,1.302940606,1265894.205,2.52E-01,-0.09685103
Aethusa cynapium,2624785,0.651656769,447363.3985,-3.56E-02,0.184516844
Agrostis capillaris,387729,0.665537433,814066.6579,1.18E-01,0.05594562
Agrostis stolonifera,390383,1.190724587,1287756.232,3.28E-01,0.074199124
Ajuga reptans,5385,0.651656769,561094.0743,2.76E-02,0.215448899
Alchemilla sp.,2913474,0.354147225,144685.5877,-3.15E-01,-0.894116311
Alchemilla xanthochlora,2941188,0.607734977,350611.8135,1.17E-02,0.330971886
Alopecurus pratensis,391506,0.651656769,737252.5036,-5.05E-02,-0.062891654
Anthoxanthum odoratum,394021,0.729946206,753704.1881,-3.96E-03,0.190775163
Anthriscus sylvestris,2641868,1.190724587,1400742.097,3.96E-01,0.013693349
Anthyllis vulneraria,2642105,0.729946206,670153.0712,7.46E-02,0.119891335
Arrhenatherum elatius,395388,0.651656769,663296.4123,1.22E-02,0.197033482
Bellis perennis,2922692,0.729946206,667137.1146,1.25E-01,0.251784724
Bromus hordeaceus,401143,1.074036907,862535.4846,8.28E-02,0.074199124
Campanula patula,365444,0.651656769,465869.9979,-7.91E-02,0.287752188
Campanula rotundifolia,365918,0.607734977,463344.9086,-3.81E-01,-0.316316279
Capsella bursa-pastoris,2697999,1.190724587,1261518.357,2.59E-01,-0.032516894
Cardamine flexuosa,2699731,0.651656769,527570.6571,5.77E-02,0.246380953
Cardamine pratensis,2700274,0.651656769,838655.8103,-2.44E-03,-0.177303168
Carex hirta,227326,0.651656769,567261.1437,9.58E-02,0.215448899
Carex leporina,230759,0.651656769,722576.1628,1.43E-02,-0.107475003
Carex muricata aggr. (spicata),228843,0.729946206,653004.9826,1.09E-01,0.102876272
Carex spicata,231061,0.651656769,584139.5638,5.43E-02,0.246380953
Carex sylvatica,231389,0.651656769,568223.1346,6.92E-02,0.251784724
Carum carvi,2701499,1.190724587,1101294.791,2.30E-01,-0.062891654
Centaurea jacea,3049580,0.651656769,535908.2067,-7.38E-02,0.117748398
Centaurea scabiosa,3049342,0.651656769,591809.2324,-1.77E-01,-0.27263364
Cerastium vulgare,2710423,1.190724587,1542503.368,5.32E-01,0.070806564
Chenopodium album,2717116,1.302940606,1475191.512,3.75E-01,0.059797412
Chenopodium polyspermum,2914227,0.729946206,538182.1656,-8.56E-02,0.257188494
Cichorium intybus ssp. intybus,2901597,0.729946206,762433.5046,1.35E-01,0.15220409
Cirsium arvense,2901650,1.190724587,1251716.303,3.35E-01,0.082088841
Cirsium oleraceum,3042201,0.557523087,394408.7298,-3.06E-01,0.05036707
Convolvulus arvensis,483761,1.190724587,1276029.546,2.68E-01,0.035306753
Crepis biennis,3056749,0.607734977,367166.9196,-1.44E-01,0.220852669
Crepis capillaris,3056794,0.607734977,466220.373,1.35E-01,0.330971886
Cynosurus cristatus,406467,0.651656769,558426.3909,1.19E-01,0.318315882
Dactylis glomerata,406640,1.190724587,1287058.732,3.72E-01,0.15220409
Daucus carota,2757936,1.190724587,1070045.818,4.40E-01,0.230445955
Elymus repens,411505,1.190724587,1178472.52,2.35E-01,-0.002142133
Euphorbia helioscopia,80043,1.190724587,1314398.565,4.34E-01,0.184516844
