"","POWO.name","Status","Max_AlphaPhy","GammaPhy","Med_AlphaPhy","Mean_AlphaPhy","leafN","LDMC","SLA"
"1","Achillea filipendulina","Exotic",0.651656769,387823.3185,0.077591684,-0.136,NA,NA,12.1553933494621
"2","Achillea millefolium","Native",1.302940606,1265894.205,-0.09685103,0.252,24.7351159407287,0.244777714461214,18.3869480998329
"3","Achillea nobilis","Native",0.651656769,561256.4025,0.131054264,-0.0718,NA,0.419342,11.772
"4","Aconitum carmichaelii","Exotic",1.190724587,471816.0623,0.368171999,0.22,NA,NA,NA
"5","Ajuga reptans","Native",0.651656769,561094.0743,0.215448899,0.0276,21.1525646981451,0.172796245650407,22.1506044142749
"6","Alcea rosea","Exotic",0.651656769,149998.6246,0.651656769,-0.0256,NA,0.202432,13.1641387760918
"7","Allium schoenoprasum","Native",0.651656769,442448.6322,-0.243822971,0.166,27.55,0.166483494889076,8.116
"8","Alyssum alyssoides","Native",0.651656769,628665.8635,0.257188494,0.139,NA,0.210901666666667,18.84
"9","Amaranthus tricolor","Exotic",1.181753713,984659.4232,0.78617341,0.854,NA,NA,NA
"10","Anchusa arvensis","Native",0.581167824,340645.264,0.090233978,-0.248,NA,0.122014,12.7434331411494
"11","Anchusa capensis","Exotic",1.073314127,272705.6277,0.036261556,0.169,NA,NA,9.20741900730116
"12","Anchusa officinalis","Native",0.651656769,446524.1788,0.102876272,-0.111,NA,0.113417,9.48173242115818
"13","Anoda cristata","Exotic",1.553052994,1361506.752,0.888560011,0.984,NA,NA,11.9811785209289
"14","Antirrhinum majus","Exotic",0.651656769,344387.3139,0.404944128,-0.046,NA,0.169171281750969,12.1487347274916
"15","Aquilegia viridiflora","Exotic",1.190724587,395014.5788,-0.612419027,-0.092,NA,NA,13.0945455881832
"16","Aquilegia vulgaris","Native",0.607734977,369683.9134,0.351397471,-0.155,26.58,0.269342857142857,33.1095054641728
"17","Arabis hirsuta","Native",1.190724587,1155202.967,-0.095205827,0.302,25.89840625,0.159311024280703,31.1415291586199
"18","Arabis caucasica","Exotic",0.729946206,424250.641,0.257188494,-0.0976,NA,NA,10.0166036092693
"19","Aster amellus","Native",0.651656769,536595.0347,0.318315882,-0.0124,22.3266266666667,0.279534290088048,13.449628953722
"20","Erigeron andicola","Native",0.607734977,261284.3546,0.457003037,0.0325,26.719451608,0.13400624107,6.30607464633848
"21","ATROPA BELLA-DONNA","Native",0.651656769,551176.19,0.341184679,0.169,NA,0.139501111111111,33.35
"22","Aurinia saxatilis","Exotic",0.651656769,364448.7732,0.415649111,0.111,NA,0.318122,22.01599859049
"23","Borago officinalis","Native",0.581167824,260318.8166,0.358562743,-0.386,NA,0.141733,15.0514092150061
"24","Bunias orientalis","Exotic",0.651656769,406632.9064,-0.308857618,-0.47,51.6,0.148649,13.1815734355808
"25","Calendula officinalis","Exotic",0.330971886,95413.66903,0.330971886,-0.279,NA,0.08905,23.299448223588
"26","Calystegia sepium","Native",1.302940606,1729967.924,-0.031827384,0.616818805,33.5938037219299,0.166342929490317,39.1567283837861
"27","Campanula armena","Exotic",0.651656769,256808.1918,0.246380953,-0.118313788,NA,NA,13.4824279113758
"28","Campanula barbata","Native",0.557523087,239046.1568,0.390171953,-0.053086726,18.936214375,0.214992092258464,7.43655095230187
"29","Campanula pyramidalis","Exotic",0.479613879,113817.9045,0.419088311,-0.112838498,NA,NA,16.6032122579486
"30","Campanula rapunculus","Native",0.651656769,529786.6267,0.291900023,0.068832504,32.078175,0.165633683320895,38.99
"31","Campanula rotundifolia","Native",0.607734977,463344.9086,-0.316316279,-0.38119933,22.3220012464939,0.241567809802951,18.5107491815558
