Plot,Disturbance,Temperature,Achillea millefolium,Ajuga reptans,Alopecurus pratensis,Anthoxanthum odoratum,Arrhenatherum elatius,Bellis perennis,Brassica spp,Bromus hordeaceus,Calystegia sepium,Capsella bursa-pastoris,Centaurea cyanus,Centaurea jacea,Chaenorhinum minus,Chenopodium album,Cirsium arvense,Crepis biennis,Cynosurus cristatus,Dactylis glomerata,Daucus carota,Erigeron annuus,Euphorbia cyparissias,Euphorbia esula,Lolium arundinaceum,Festuca spp,Galinsoga parviflora,Galium album,Geranium spp,Holcus lanatus,Hypericum spp,Kickxia elatine,Kickxia spuria,Scorzoneroides autumnalis,Leontodon hispidus,Leucanthemum vulgare,Lotus corniculatus,Lythrum salicaria,Medicago lupulina,Medicago sativa,Melilotus albus,Misopates orontium,Myosotis arvensis,Oxalis corniculata,Panicum capillare,Papaver rhoeas,Pimpinella major,Plantago lanceolata,Plantago major,Persicaria maculosa,Potentilla recta,Prunella vulgaris,Ranunculus acris,Rumex acetosa,Sagina apetala,Salvia pratensis,Setaria viridis,Silene vulgaris,Sonchus asper,Tragopogon pratensis,Trifolium pratense,Trifolium repens,Trisetum flavescens,Verbena officinalis,Veronica persica
1A,Undisturbed,Control,0.0125,0.0325,,,0.005,,,0.0025,,,,0.02,,,0.0075,0.005,,0.08,0.0625,0.0025,,,0.1625,0.3375,,0.0025,,0.0325,,,,0.0125,,0.0725,0.1575,,0.025,,,,,,,,,0.0275,,,0.0025,0.0125,0.005,,,0.0025,,0.005,,,0.105,0.0525,,,
1B,Undisturbed,Heated,0.0175,0.0375,,,0.0125,0.0025,,,,,,0.03,,,0.005,0.015,0.0025,0.0625,0.135,0.0025,,,0.105,0.1225,,0.0075,,0.0125,,,,0.0025,,0.035,0.0275,,0.0225,,,,,,,,,0.0175,,,0.0125,0.0075,,,,,,0.0025,,,0.0775,0.115,,0.0025,
2A,Disturbed,Control,0.0025,0.015,0.0025,,0.0075,,0.015,,,,,,0.0525,0.04,0.03,0.005,0.015,0.005,0.0475,,,,0.0075,,,0.0125,,,,,,0.01,,0.01,0.0025,,0.0025,,,,0.01,,,0.005,0.0025,0.035,,0.3,0.0175,0.0025,,,,,0.005,0.015,,,,0.01,,,
2B,Disturbed,Heated,0.0025,,,,0.0175,,0.1925,,,,,,0.005,0.035,0.0575,,,,,,,,0.0025,,,0.03,,,,,,0.0075,,0.0075,0.0025,,,,,,,0.0225,0.0025,,,0.0175,,0.33,0.0725,0.0025,0.0025,0.01,,,0.0025,0.015,0.005,,,0.01,0.0025,0.0025,0.005
4A,Disturbed,Heated,0.0075,0.0125,,,0.0175,,0.1,,0.0125,,,0.0225,0.01,0.01,0.035,0.015,,0.0025,0.03,,0.0075,,,,,0.015,,,,,0.0025,0.0025,,0.0475,0.0025,,0.0075,,,,,,,,,0.005,,0.0825,,,0.04,,,,0.055,0.0175,0.025,,,,,,0.0025
4B,Disturbed,Control,0.0125,,,,,,0.0275,,,,,0.0425,0.0075,0.0275,0.0375,0.015,,,0.01,,,,,,,0.0175,,,,,,,,0.0925,0.01,,0.0075,,,,0.015,,,,,0.0325,,0.0725,0.005,0.05,0.03,0.02,0.045,,0.0475,0.015,,,0.015,,,,0.035
5A,Undisturbed,Heated,0.015,0.03,,0.0025,,,,0.0025,0.0025,,,0.08,,,,0.0075,0.005,0.05,0.1175,0.0175,,,0.03,0.045,,0.02,,0.0025,0.0025,,,0.0175,,0.035,0.0525,,0.0125,,,,,,,,,0.085,,,,0.005,0.015,,,0.01,,,,,0.125,0.085,,,
5B,Undisturbed,Control,0.01,0.005,,,0.0025,,,,,,,0.05,,,0.0025,,0.0075,0.0775,0.13,,,,0.3,0.0575,,0.01,,0.01,,,,0.005,,0.02,0.0925,,0.0175,,,,,,,,,0.075,,,,0.0175,0.005,0.005,,,,,,,0.115,0.08,,,
6A,Disturbed,Heated,0.005,0.02,,,0.0525,,0.035,,,,,0.0075,0.0375,0.0175,0.06,0.0075,,0.0125,0.0475,,,,0.0075,,,0.06,,,,,,0.005,,0.02,0.01,,,,,,0.01,0.015,0.0175,,,0.04,,0.3375,0.015,0.01,0.02,0.0075,,0.0175,,0.0225,0.0125,,0.0075,0.015,,0.03,0.0025
6B,Disturbed,Control,0.0025,0.0275,,0.0025,0.0675,,0.0325,,,,,0.01,0.01,0.02,0.0375,0.0375,,,,,,0.0075,0.0925,,,0.0225,0.0025,,,,,,,0.0125,0.005,,,,,,0.01,0.01,0.025,,,0.0275,,0.1775,0.005,,0.03,,,,0.005,0.0125,0.0075,,,0.0175,0.0025,,
