Species,plant_name_id,Seed_wt,vegheight,LDMC,SLA,Status,leafN,genheight,hardiness,Life_span,herbivory_resistance,competition_index,OptGermRt
Achillea filipendulina,3109923,0.12,0.2479375,,12.15539335,Exotic,,,H4,P,0.353333333,-2.53351708,0.35
Achillea millefolium,2908230,0.133333333,0.219446475,0.244777714,18.3869481,Native,24.73511594,0.48464278,H1,P,,,0.92
Achillea nobilis,3110044,,0.433333333,0.419342,11.772,Native,,0.4,,,,,
Aconitum carmichaelii,2618501,2.69,,,,Exotic,,,H3,P,,,0
Ajuga reptans,5385,1.15,0.07743985,0.172796246,22.15060441,Native,21.1525647,0.139705128,H2,P,,,0.37
Alcea rosea,2627710,6.265548,0.863,0.202432,13.16413878,Exotic,,1.786,,,0.275625,-2.668986592,0.471666667
Allium schoenoprasum,296525,1.31,0.337368421,0.166483495,8.116,Native,27.55,0.326986111,H1,P,,,0.95
Alyssum alyssoides,2631899,0.58776,0.151785714,0.210901667,18.84,Native,,0.1515,,,,,0.085
Amaranthus tricolor,2633132,0.5886,1.25,,38,Exotic,,,H5,A,,,0.73
Anchusa arvensis,2636464,5.088733,0.321837838,0.122014,12.74343314,Native,,0.342857143,,,7.69375,-1.071773174,0.048333333
Anchusa capensis,2636491,2.574845,0.1746,,9.207419007,Exotic,,,,,0.547333333,-1.094474956,0.04
Anchusa officinalis,2636606,4.034815,0.394423077,0.113417,9.481732421,Native,,0.521428571,,,2.019375,-1.490176791,0.021667
Anoda cristata,2641086,8.019898,0.471647059,,11.98117852,Exotic,,,,,0.073333333,-2.323090267,0.395
Antirrhinum majus,2642724,0.133333333,0.5741,0.169171282,12.14873473,Exotic,,0.5,H4,P,,,0.816666667
Aquilegia viridiflora,2645036,0.6926325,0.075785714,,13.09454559,Exotic,,,,,0.107692308,-3.12752602,0.465
Aquilegia vulgaris,2645045,2.222222222,0.526086957,0.269342857,33.10950546,Native,26.58,0.62,H3,P,,,0.39
Arabis caucasica,2645447,0.2958975,0.054318182,,10.01660361,Exotic,,0.215625,,,8.3,-1.645132613,0.796666667
Arabis hirsuta,2645681,0.143718,0.405857143,0.159311024,31.14152916,Native,25.89840625,0.3875,,,,,0.165
Aster amellus,3099441,0.7,0.2971875,0.27953429,13.44962895,Native,22.32662667,0.3,,,,,
Aster bellidiastrum,3099482,0.2173575,0.120222222,0.134006241,6.306074646,Native,26.71945161,0.162916667,,,,,0.435
Atropa bella-donna,2665943,1.32,1.1875,0.139501111,33.35,Native,,0.9625,H3,P,,,0.84
Aurinia saxatilis,2666583,0.997205,0.220454545,0.318122,22.01599859,Exotic,,0.25,,,,,0.72
Borago officinalis,2679695,19.06919,0.522827586,0.141733,15.05140922,Native,,0.375,,,3.0625,-0.174478832,0.056666667
Bunias orientalis,2686094,33.79532,0.457176471,0.148649,13.18157344,Exotic,51.6,0.722916667,,,11.65625,-1.600159061,0.003333
Calendula officinalis,2910167,8.079923,0.34732,0.08905,23.29944822,Exotic,,0.375,,,0.788125,-1.376636699,0.381666667
Calystegia sepium,483559,22.7624625,1.427567594,0.166342929,39.15672838,Native,33.59380372,1.771428571,,,2.219375,-1.476389372,0.021667
